tay,vietnamese
"lục ơi, khửn rườn dào kha dào mừ.","con ơi, lên nhà rửa chân rửa tay."
"lục ơi, mà me cạ",con ơi lại đây mẹ bảo
"lục ơi, pây au hẩư po cốc nặm.","con ơi, đi lấy cho bố cốc nước."
"lục ới, dặng thả mẻ cạ ỷ cón.",con ơi
"lục ới, dặng thả mẻ cạ ỷ cón.",đứng lại để mẹ bảo cái này đã.
"lục ới, dặng thả mẻ cạ ỷ cón. pện phuối lăng le phuối a lá. cử hạy năng lồng tinh hẩư đây ngoi nè. tinh hẩư đây cón nè, bấu chư cạ phuối nhạu nau.","con ơi, đứng lại để mẹ bảo cái này đã. vậy, bảo gì thì bảo đi. hãy cứ ngồi xuống nghe cho kĩ cái đã nào. nghe cho kĩ đã nào, không phải nói đùa đâu."
lụp,lau
lụp loẹp,mơn trớn
lụp,vuốt
lụp au cúa,dỗ dành lấy của cải
lụp au cúa me oóc,khua khoắng lấy của mẹ
lụp hang cáy ton,vuốt đuôi gà sống thiến
lụp lau,khua khoắng
lụp lau,vuốt ve
lụp lau,vơ vét
"lục hảy đăm, me vằn vằn vắt vía hẩư.","con khóc đêm, mẹ thường làm lễ gọi vía cho."
"lục chài khỏi tả ma, lục slao tả sâu.","con trai tôi sợ chó, con gái sợ sâu."
lọ cạ,huống chi
"lục nòn dú rườn, bấu pây.","con ngủ ở nhà, không đi."
lục slao cần tày chắc hết phải.,con gái tày biết dệt vải.
lục khỏi đang tập đếm tẳm ết thâng slíp.,con tôi đang tập đếm từ một đến mười.
"lục lan ngòi điện thoại slí vằn, bấu pang pú hết fiệc.","cháu tôi xem điện thoại cả ngày, không giúp ông làm việc."
"lục mẻn nẳm, bấu pây thong nhe.","trẻ đang ốm, đừng ra suối nhé."
lục nao pây háng đuổi me,con vòi đi chợ theo mẹ
"lục ngám đẻ, bấu hẩư cần lạ thâng rườn.","con mới sinh, không cho người lạ vào nhà."
lục nhình,con gái
lục nu,hạch
lục nắm cạ le lục tăn,con không nghe lời là con hư
lục khỏi vằn vằn pây slon tằng xe đạp.,con tôi ngày ngày đi học bằng xe đạp.
lục phải,con sợi
lục mầư nòn dá xằng?,con mày ngủ chưa?
lục pjai,con út
lục pjạ,con mồ côi
lục pjạ,cô nhi
lục pjạ khỏ bấu mì ti thẻ,con mồ côi khó khăn không có chỗ dựa
"lục pây slon đại học, khỏi hăn huôn lai",con được đi học đại học tôi thấy vui vẻ lắm
lục pụt,con ngươi
lời phuối cúa te ngọt bặng nặm ong.,lời nói của anh ấy ngọt như mật ong.
lụ au lẹo,vơ quàng lấy hết
lụ,vội vàng
lụ,vơ quàng
lụa,lụa
lụ xa phặt fầy,sờ soạng tìm cái bật lửa
lộn,độn
lộn lạo,lẫn lộn
lộn lạo,lộn xộn
lộng,thủng
lớ,lở
lớ,thôi
lớ lác,sụt lở
lớp,lớp
lụa,lớp lụa trong ống tre
lớp slíp nhi,lớp mười hai
lờm,phiền
lờm,phiền hà
lụ,lọa
lụ,quờ quạng
lụ,sờ soạng
lụp loẹp xáu pi nhình au chèn,dụ dỗ chị gái lấy tiền
lục đếch đảy slửa mấư le fằng,trẻ con được áo mới thì mừng
lủ,kém
"lục đếch nhà bên sủa to quá, nòn bấu đảy.","trẻ con nhà bên cạnh ồn ào quá, ngủ không được."
lục đếch háy le_ lục cần tầư?,đứa bé khóc là con ai?
lục đếch hăn cần lạ le_ nả bang.,trẻ con thấy người lạ thì nhút nhát.
lục đếch hăn mẹ mừa le_ mửng lai.,trẻ con thấy mẹ về thì mừng lắm.
"lục đếch hảy nhoòng lăng, te đói lỏ?","đứa bé khóc vì sao, nó đói à?"
lục đếch mủa,trẻ con nghịch
"lục đếch mủa, chổi lai.","trẻ con nghịch, phiền lắm."
lục đếch ngòi mjặc mjặc.,đứa trẻ nhìn chăm chắm.
lục đếch fứ mục ooc slí giấy.,trẻ con hỉ mũi ra hết giấy.
lục đếch nàm nàm toi chin pẻng.,trẻ con nằng nặc đòi ăn bánh.
"lủc đếch đảy slửa mấư le phằng, cần ké men cằm khôm le hảy",trẻ em được áo mới thì mừng
lục đếch nàm nàm toi pây liểu.,đứa trẻ nằng nặc đòi đi chơi.
lục đếch nắm phính,trẻ con không đọ được với người lớn
lục đếch phấu lườm ngài,con trẻ xem quên cơm
lục đếch quẩy đua nòn cần ké,trẻ con phá giấc ngủ người già
lục đếch thém pây chồm hội,trẻ em thèm đi xem hội
lục đếch tua hâư tố hăn quai,thấy trẻ con đứa nào cũng khôn
lục đếch đang hạy lai.,đứa bé đang khóc nhiều.
lục đếch nài dâư,trẻ con nước dãi rớt
"lục đếch fứ mục, bấu chắc fứ.","đứa trẻ hỉ mũi, không biết hỉ."
lộn,lẫn
lộm xuốn muốc,ngã giúi giụi
lộm tẳng kha,ngã chổng vó
lọ cạ,nữa là
lọ lăng,hay sao
lọ phon,bình vôi
lọ pì,lọ mỡ
lọ vài,lối trâu đi
lọa,sờ
lọm ruôn,rào vườn
lọa,vơ
lọa xa nghé pao fầy,sờ tìm hộp diêm
lọe,vét
lọe,vơ
lọe au kỉ xu chang tây,vét lấy mấy xu trong túi
lọm,rào
"lọm bản hơn lọm rườn, lọm rườn hơn lọm sluổm",rào làng hơn rào nhà
"lọm bản hơn lọm rườn, lọm rườn hơn lọm sluổm",rào nhà hơn buồng
lọm khít,rào kín
lọa au kỉ nham,vơ lấy mấy nắm
lục đếch đang hốc le lục cúa cần tầu?,đứa bé đang khóc là con của ai?
lục đếch doóng doát dú tổng nhù,trẻ con nhảy nhót ở đống rơm
"lục đếch ca này ăn quà bánh, bấu ăn mác co, mác cuổi.","trẻ con bây giờ ăn quà bánh, không ăn hạt dẻ, ăn chuối."
lục đếch đang lèo dú noọc sân roỏng lai.,bọn trẻ đang chơi ngoài sân vui quá.
lụp lu,xuýt xoa
lụp nhuốt,vuốt râu
lụp toọng,xoa bụng
lụp tua mèo,vuốt ve con mèo
lụp đang,lau người
lụy,xệ
lụy mạ,chết gục
lụy mạ,ngã quỵ
lụp lu,xoa vuốt
lủ,cùn
lủ lút,cùn lì
lủa,cái mai
"lủc liệng vò mẻ, đừng án tấng hoằn.","con nuôi bố mẹ, đừng tính từng ngày."
"lủc nhình pây liểu khuya chắng mà, đây slao nỏ?","con gái đi chơi khuya mới về, đẹp mặt nhỉ?"
lủc đếch ca này chỉ nắt ngòi điện thoại thôi.,trẻ con bây giờ chỉ thích xem điện thoại thôi.
lủc đếch pây slon tẳm dặng.,trẻ con đi học từ sáng sớm.
"lủc đếch đảy slửa mấư le phằng, cần ké men cằm khôm le hảy",người già phải nghe lời cay thì khóc.
lục đọc séc chậm chậm.,con đọc sách chậm chậm.
"lục slao hay phuối nhạu, bươn hả phạ rủng đao tọ ỷ lúc tẻo phân cải.",tháng 5 trời đầy sao nhưng lát sau lại có mưa to.
lục slao nhà pí vửa đây vửa ngoan.,con gái nhà chị vừa xinh vừa ngoan.
lục táu toi au chèn,con nằng nặc đòi tiền
lục slao quá nàn au đảy phua,con gái quá lứa khó lấy được chồng
"lục slao tày bố tán hết nà, nhằng chắc nhặp nhọm.","con gái tày không chỉ làm ruộng, còn biết may vá."
lục slao đây hơn lục chài.,con gái xinh hơn con trai.
lục slay chầư slấy,học trò lễ thầy
lục slọi ăn thêm nảy hưa pả đảy vỏ?,cháu xâu cái kim này giúp bà được chứ?
lục slớ,người học nghề mê tín với thầy mo
lục thẻ po me,con cậy bố mẹ
lục đếch cà xáu căn,trẻ con cà khịa với nhau
lục toi me pây háng,con đòi mẹ đi chợ
lục tẩu,x. lục lạc
lục đeng,con ruột
lục đảy nả me,con giống mặt mẹ
lục đếch,thằng
lục đếch,trẻ con
lục đếch,trẻ em
lục đếch,đứa trẻ con
lục đếch bấu đảy lum loem pjạ cồm,trẻ con không được táy máy dao sắc
khốp,khớp nhau
khốp,đốt
khốm,hãm
me bjoóc,mẹ hoa
màn khoang,bướng bỉnh
màn,chửa
mác sluc bấu lập slì,quả chín không đúng lúc
mjề nọi,vợ lẽ
mjề hết nha xáu phua,vợ hờn dỗi với chồng
me,ngất
me,vợ
me au măng pây hất nựa.,mẹ lấy măng đi nấu thịt.
me bấu dự mác ngận hôm nay.,mẹ không mua nhãn hôm nay.
me chúp lục,mẹ hôn con
me bấu dự pja dú háng.,mẹ không mua cá ở chợ.
me bấu lìa lục,mẹ không lìa con
me bấu mừa dú po tối nay.,mẹ không về với bố tối nay.
me bấu phuối tuyện mí po hôm nay.,mẹ không nói chuyện với bố hôm nay.
me bẻo lục mậu,con bụ bẫm
me bẻo lục mậu,mẹ béo
me ca lục nàng tiên,con đẹp như tiên
me ca lục nàng tiên,mẹ xấu như cóc
màn chẳng đi khửn đông,gan mới dám lên rừng
màn chẳng đi cặp ngù,gan dạ mới dám bắt rắn
màn,sưng
màn,gan lì
mác bay,quả trám
mà liêu rườn,về thăm nhà
mào,bù nhìn
màn pì,gan dạ
mà lọt,về tới
mà pjót,về đến nơi
mà rườn,về nhà
mà rọt au chèn,về bòn tiền
mà thâng rườn,về đến nhà
mà vạ pậu,về với tôi
mà xày,đến đủ
mà đai mà đoóc,đến tay không
màn tàng,chửa hoang
mà đuổi căn,về với nhau
màn,có đòng
màn,dạn
màn,gan
me can lục bấu pây liêu,mẹ khuyên can con không đi chơi
me chủn dự mác ngận mai.,mẹ đồng ý mua nhãn ngày mai.
mác cheng nhản,quả chanh không có nước
me mọn khảu quéng dú chang hòm.,mẹ cho tằm làm kén ở trong hòm.
mau on,mùa nóng
mao,lượt choáng váng
me coi phuối tuyện mí po.,mẹ sẽ nói chuyện với bố.
me cáy nâng pje,gà mái sinh sôi thành đàn
me cầu,đàn bà đang nuôi con mọn
me mòi đang hết fiệc dú háng sluộm kẹo.,bà mối đang làm việc ở chợ bán kẹo.
me măn,đàn bà vô sinh
me mải,quả phụ
me mừ,ngón tay cái
me coi khai khẩu ngày mai.,mẹ sẽ bán gạo ngày mai.
me mừa dú po sáng mai.,mẹ về với bố sáng mai.
me na,bà dì
me na,vợ lẽ
me mòi nai lẩu pi noọng.,bà mối mời rượu bà con.
me nhình,phụ nữ
me nhình cúa khỏi chắc hết ngoạ.,mẹ tôi biết làm ngói.
me nhình cúa khỏi chắc nhặp nhọm.,mẹ tôi biết thêu thùa.
me nhình khỏi chắc nhặp nhọm lai nghề.,vợ tôi biết thêu thùa nhiều kiểu.
mau nẩy chay bắp le mắn đảy chin,vụ này trồng ngô chắc chắn được mùa
mau dên,mùa lạnh
mau,vụ
mau,mùa
me,mẹ
me,mê
me,biểu thị giống cái
mau đảng,mùa rét
mai mậc,mài mực
mai sle khói lấư,đánh dấu để khỏi lẫn
man,căn dặn
man,cảnh báo
man,màn treo
man queng,màn thổ cẩm quây buồng cô dâu
man tu,màn treo cửa buồng
mang,thề độc
me coi mừa dú po tối nay.,mẹ sẽ về với bố tối nay.
mang,tơ màng
mao,minh hoảng hốt
mao,mào
mau,con mối có cánh
mác cheng slổm khến,quả chanh chua ghê
mác chanh slổm,quả chanh chua
khốp lặc,cắn trộm
muộn pác cuôi,đan gập miệng sọt
mjề pây tả sle hẩư phua sloong tua lục,bỏ lại cho chồng hai đứa con
mác chia bân,quả chôm chôm
mác cheng slổm khến,quả chanh rất chua
muổi,quả gắm
muộn,xắn
muộn,đan gập
muộn khóa,xắn quần
muộn khóa hạy ngai hết fiệc.,xắn quần cho dễ làm việc.
muộn tẹm,đan gập phên phơi thóc
mà,lại
muộn tẹm hạy khô khẩu.,đan gập phên phơi thóc cho khô thóc.
muồi,cây mai
muột,hết
muột,tận
muột hang,tận cùng
muột hang,đến cùng
"muột hang, cần pây thâng.","tận cùng, cần đi đến nơi."
muột tơi,suốt đời
mác mị phéc nhác,quả mít nứt toác
mác nặm,thủy đậu
mác nát,quả mua
mác nhằng kheo xát,quả còn xanh lè
mác phjàng,quả bưởi
mác nỏa,quả vả
mác muông đây lai.,quả muỗm ngon lắm.
mác muổi cúa mò đông.,quả gắm của bò rừng.
mác muổng,quả xoài
mác mán,dị ứng
mác mán,lên ma tịt
mác mán khửn têm dang,ma tịt lên khắp người
mác mặt,quả quất
mác mặt,quất hồng bì
mác nựa na,quả cùi dầy
mác mỉ,quả mít
mác mị poòng,mít chín mềm
mác ngoa,quả vả
mác ngận,quả nhãn
mác nhùng quá,su su
mác nhản,quả nhãn
muột tơi bấu quen.,suốt đời không quên.
mà,ra
mác cam tủng,quả cam
má khẩu pẻng,ngâm gạo làm bánh
muối,viên
mác chia,quả vải
mà,đến
mà lập slì,đến kịp thời
mào,làng hình nhân
mào nhần,bù nhìn
má,ngâm
má khẩu fe,ngâm thóc giống
má phon,tôi vôi
muột,suốt
mác,bệnh sởi
mác,bệnh đậu mùa
mào,kinh hãi
mác,quả
mác bát bưa pja,quả thàn mát duốc cá
mác bây,quả trám đen
mác cam,quả cam
mác cam chỉa,quả quýt
muối khẩu cẩu muối thứa,một hạt thóc chín hạt mồ hôi
muối khẩu cải gặc ăn mác vàng tón kin ná mì phiắc cụng van,đến bữa ăn không có rau cũng ngon
muối khẩu cải gặc ăn mác vàng tón kin ná mì phiắc cụng van,hạt cơm to bằng quả bưởi
muối dài bên lai.,hạt cát bay nhiều.
mà,về
muối mac ngận,hột nhãn
"muối khẩu pện muối ngọc, kin khảu tẻ doọc doọc",hạt gạo như hạt ngọc
muông,cây muỗm
muốc,cám lợn
muốc,nước vo gạo
muốc,trắng đục
"muốc au hẩư mu chin, bấu đảy đổ pây.","nước vo gạo lấy cho lợn ăn, không được đổ đi."
muốc lợn đây lai.,cám lợn tốt lắm.
"muốc mu nẩy thơm lai, ái kin.","cám lợn này thơm lắm, muốn ăn."
muối,hạt
"muối khẩu pện muối ngọc, kin khảu tẻ doọc doọc",ăn vào ngày băng băng
muối,hột
muối da,viên thuốc
muối da kin hạy khỏe.,viên thuốc uống để khỏe.
"muối da nẩy đắng, tọ cần kin.","viên thuốc này đắng, nhưng cần ăn."
muối dài,hạt cát
me nhình mầư pây hâư dá?,vợ cậu đi đâu rồi?
me nhình xẳn lục,đàn bà mắn đẻ
"me nhình ơi, au hẩư khỏi cái búa.","vợ ơi, lấy cho chồng cái búa."
me oóc mốc slẩy tàn tạc,mẹ trong lòng bồn chồn
ma nhản,chó cắn
ma nhản đúc,chó gậm xương
ma nuầy,chó sói
ma nà,nhái bén
ma phjâu kẻo nhỉnh nhác,chó thui nhăn răng
ma ngàm đúc,chó ngậm xương
me nòn mí po sáng mai.,mẹ ngủ với bố sáng mai.
me oóc,mẹ đẻ
mjòn,lòng trứng
mjút mjảng chứ,phảng phất nhớ
mjòn khao,lòng trắng
mjòn tha,tròng mắt
mjòn xáy đeng,lòng đỏ trứng
"mjòn xáy đeng nẩy đây lai, ái chin.","lòng đỏ trứng này ngon lắm, muốn ăn."
mjòn đeng,lòng đỏ
mjòn đeng vạ mjòn khao.,lòng đỏ và lòng trắng.
mjó,nhô
mjèn mjèn,chằm chằm
ma nhan,chó ghẻ
ma nham cảo,chó đớp vào khuỷu chân
ma ngằng,chó gầm gừ
ma nghẻn đúc,chó gặm xương
mac chuầy pủm,cái dùi bị tù
mac lủa tào đin,cái mai đào đất
mac mị slúc num,quả mít chín mõm
mac ngận đăm,hạt nhãn đen nhánh
ma tẹp tua mèo doan mao,chó đuổi con mèo kinh hãi
ma han,chó sói lông xám
ma sleng,chó đực
ma ron ngắng ngắng,chó kêu ăng ẳng
ma huông đúc,chó giữ cục xương
ma háu,chó sủa
ma hăn chẩu mẹp,chó thấy chủ nằm phủ phục
ma hảng ràm,chó đeo rọ mõm
ma khoát lâu nu,chó cào hang chuột
ma khôn quầy,chó lông xám
ma mà,mà lươn
ma mà pja lay,mà lươn
ma rại,chó dữ
mjút mjảng,phảng phất
mjút mjảng chứ te.,phảng phất nhớ nó.
"me nhình ơi, vằn phjục boong lầu pây khai mu nớ.","vợ ơi, ngày mai vợ chồng mình đi bán lợn nhé."
mjạc slao,đẹp gái
mjàng,khéo léo
mjàng,nhanh
mjàng,thành thạo
mjàng mjộp,nhanh nhẹn
mjày,đổi
mjày bắp au khẩu,đổi ngô lấy gạo
mjàn,trừng
mjoọc,thò tay
mjạn,trắng ra
mjút mjảng dú lặm cừa,thấp thoáng sau bụi rậm
mjằm,vòng xuyến
mjằm mác pắt,vòng tay hạt cườm
mjằm ngần,vòng tay bằng bạc
mjẳn,x. pjẳn
mjặc mjặc,chăm chắm
mjặp,nhấp
mjặp cò,nhấp giọng
mjặp ám nặm,nhấp ngụm nước
mjàn tha,trừng mắt
mjàn mjàn,trừng trừng
mjàn,trợn
mjè,mủn
mjút mjảng dú lặm cừa.,thấp thoáng sau bụi rậm.
mjạc,trơn tru
mjạc,đẹp
mjạc bặng tiên,đẹp như tiên
mjạc mjào,xinh xắn
diết,duỗi
mjạc mjào,đẹp đẽ
mjèm,nhọ
mjày khân căn,đổi khăn cho nhau
mjoọc lù cốp,thọc tay vào hang ếch
mjoọc lù cốp bấu đảy.,thọc tay vào hang ếch không được.
mjoọc mừ khảu thông khoá,luồn tay vào túi quần
mjoọc mừ khảu thông khoá.,luồn tay vào túi quần.
mjoọng,súc
mjoọng,tráng
mjoọng pác,súc miệng
mjoọng pác hạy sạch.,súc miệng cho sạch.
ma đăm,chó mực
ma đáng,chó lang
ma xẻ cảo,chó cắn khuỷu chân
ma bấu lùm lỏ vó bấu lùm rườn,bố không quên nhà
me lùa tứn hung hang,nàng dâu thức dậy nấu nướng
me lùa ón nhỏi,cô dâu trẻ măng
me lùa chin dú chúng me da,cô dâu ăn ở vừa lòng mẹ chồng
mai,vết chàm
mai,kì
mai,cọ
ma,chó
ma,mờ
ma bấu lùm lỏ vó bấu lùm rườn,chó không quên đường
ma vắt tôm pền xum,chó moi đất thành hố
ma bấu lừm lo po bấu lừm rườn,bố không quên nhà
ma bấu lừm lo po bấu lừm rườn,chó không quên đường
ma chí nu,chó đuổi chuột
ma chủn lị ma ngằng,chó cùng dậu
lửa,lác
ma chủn lị ma ngằng,chó cùng dậu cắn càn
ma chủn lỵ ma ngằng,chó cùng giậu chó cắn
ma càm đuc,chó càm xương
me lùa phông lan,con dâu sinh cháu
me lùa mấư tích,nàng dâu mới mọi thứ lạ lẫm
me lùa mì dá,đứa con dâu có mang rồi
me lùa dú,con dâu ở cữ
me noọng a,cô em cô
me nhình,đàn bà
mai,đánh dấu
me mé,bà nội
me lùa đây slao,cô dâu xinh gái
me cốc,vợ cả
me da đá ngằm ngằm,bà mẹ chồng chửi lầu bầu
"me dặn: pây tầư tố rèo là cần đây, ná lừa cần.","mẹ dặn: đi đâu cũng phải là người tốt, đừng lừa dối người khác."
me dự mác pục mí po bjoóc dú háng xao.,mẹ mua bưởi với bố ngày mai ở chợ xã.
me dự pja dú háng.,mẹ mua cá ở chợ.
me kha,ngón chân cái
me khua mí lục sáng sớm.,mẹ cười với con sáng sớm.
me khua mí po dú pja.,mẹ cười với bố bên ao cá.
me màn,đàn bà chửa
me khỏi vằn vằn tỉnh đài.,mẹ tôi ngày nào cũng nghe đài.
me lùa chắng oóc bươn,cô dâu mới sinh cháu được đầy cữ
me lùa cò ón,cô dâu dễ bảo
ma còn lục,chó tha con đi chỗ khác
ma eng,chó con
ma eng khớp pền khỉa,chó con cắn bị biến chứng thành sâu quảng
lừa cần,lứa người
lừa lồng hát,thuyền xuống thác
lừa pống chang pé,thuyền bồng bềnh giữa hồ
lừm,quên
lừa,lứa
me nòn mí noọng dú rườn.,mẹ ngủ với em ở nhà.
ma fản chủa,chó phản chủ
ma hang đỏn,chó cộc đuôi
ma sluông,chuột chó
ma tha,thôi miên
ma thai bấu lừm ngắng,chó chết không quên kêu ẳng
ma thai bấu lừm ngắng,chó chết không quên kêu “ẳng”
ma thấu,tay sai
ma tò khốp,chó cắn nhau
ma tò khổn căn,chó quần nhau
ma tằn cảo,chó cắn trộm khuỷu chân
ma sloác khảu cảo,chó đớp vào khuỷu chân
ma tẹp cáy,chó đuổi gà
lừa khảu phắng,thuyền vào bến
lừa cuổi hỏi,buồng chuối chi chít quả
ma eng mậu,chó con mập
lừa,thuyền
ma eng pây cắn,chó con chạy lon ton
ma eng uổn,chó con mập
ma chủn lị ma ngằng,chó cắn càn
ma fát le thương,chó bị còi thì cho ăn đường
lừm tàng,quên đường
lừm cằm slắng,quên tịt lời dặn
lức,lản đảo mắt
lứn lứn,xồng xộc
lứng,con lửng
lứng,nghễnh ngãng
lứp,lớp
lứt lứt,cuồn cuộn
lừ,con lừa
lừ,ngày kia
lừm lâu,quên tịt
lừa,buồng
lừa,ra hoa
mác ma,quả mơ hôi
mác pục nhằng mưn,bưởi còn the
mác rây,quả hồng ngâm
mu làng,lợn đực giống
mu cương cải,lợn dáng to
"mu cải dá, khai khứ pây, au chèn mà dự pja fe_.","lợn to rồi, bán xừ đi để lấy tiền mua cá giống."
"mu cải dá, khai pây au chèn slon hử lục.","lợn to rồi, bán đi lấy tiền cho con đi học."
mu eng,heo con
mu fằn,lợn giống
mu hua lon,lợn thon đầu
mu khẩu slan,lợn bị bệnh gạo
mu ki,lợn còm
mu lúp lồng tha,mũ che khuất mắt
mu,lá chít
mu me,lợn nái
mu me đẻ lai lục.,lợn nái đẻ nhiều con.
mu mả puộp,lợn lớn phổng
mu mẻ,heo nái
mu chạng,loại lợn to
mu chuốn cừa rộc phjà phjà,lợn chui bụi rậm soàn soạt
mu chin đoóng làng muốc,lợn ăn hết sạch máng cám
mu chin rọt làng,lợn ăn kiệt máng
mu coòng toi chin muốc,lợn kêu đòi ăn cám
mu chủ pác lồng làng muốc,lợn nhúng mõm xuống máng cám
mu chạng nắc lai.,lợn to nặng lắm.
mắn cắn,vững chắc
nhoòng lăng mầư bấu pây slon slư?,vì sao mày không đi học?
nhoòng lăng mầư bấu pây slon tiếng anh?,làm sao mày không đi học tiếng anh?
nhoòng lăng mầư bấu tinh lầu pỏ me?,vì sao mày không nghe lời bố mẹ?
nhoòng lăng mầư pây slon slư hạy pên nẩy?,tại sao mày đi học như thế này?
nhào,ào ào
nhoòng lăng mầư pây slon slư pên nẩy?,tại sao mày đi học như thế này?
nhoòng minh rì chắng khói thai,nhờ số may mới thoát chết
nhoòng phôn lai nặm chắng noòng,vì mưa nhiều nên lũ
nhoòng phôn lai nặm chắng noòng,vì mưa nhiều nên nước lũ
nhoòng te chắng đảy lai cần điếp,vì thế nó được nhiều người mến
nhoòng te chắng đảy lai cần điếp,vì thế được nhiều người mến
nhuốt tải càng,râu quai nón
nhuốt tắng nhắng,râu tua tủa
nhào,nhào
nhoòng lăng pỉ noọng pây tẻo dương căn?,vì sao mọi người lại đi thăm nhau?
mắn slim,vững tâm
mắn rèng,vững mạnh
mu,heo
mu,lợn
mu nao chin muốc,lợn đòi ăn cám
mung ngầư,mong chờ
"mum bắp, hết nghé lăng?","râu ngô, làm gì?"
mum hẩu tón nâng,nện cho một trận
mum hẩu tón nâng.,nện cho một trận.
mum tải càng,râu quai nón
mum tải càng cúa pú dài.,râu quai nón của ông dài.
mum,nện
mung,nhìn
mung,xem
mung ngầư,trông đợi
mu,mũ
mung ngầư vằn lăng,trông đợi mai sau
mung ngầư vằn lăng.,trông đợi mai sau.
mung pù khau,nhìn núi đồi
mung pù khau.,nhìn núi đồi.
mung vài,trông trâu
mung,trông
mu,giết
mu đông quạo,lợn rừng húc
mum bắp,râu ngô
mum,đánh
mum,râu
mu mụn muốc.,lợn dũi cám.
mu,mũ miện
mu,thịt heo
mu,thịt vịt
mu,vịt
mu mẻ chẻ xu lình,nuôi lợn sề thiến như mộc nhĩ ngâm
mu chao,lợn đực rừng
mu chin lọt làng,lợn ăn hết cám
"mu chin muốc sloong làng, càng mu măng",lợn ăn cám hai máng
"mu chin muốc sloong làng, càng mu măng",má lợn phệ
"mu chin muốc sloong làng, càng mu măng; cần hết fiệc sloong păng, tăng năng thai.",lợn ăn cám hai máng
"mu chin muốc sloong làng, càng mu măng; cần hết fiệc sloong păng, tăng năng thai.",má lợn phệ
"mu chin muốc sloong làng, càng mu măng; cần hết fiệc sloong păng, tăng năng thai.",người làm cho hai họ
"mu chin muốc sloong làng, càng mu măng; cần hết fiệc sloong păng, tăng năng thai.",người ngã quỵ đứt hơi.
mu chin muốc slặc pác,lợn ăn cám xốc mõm
mu chin bắp cải khoái,lợn ăn ngô chóng lớn
mu mụn muốc,lợn dũi cám
"mu mụn muốc, chin ngai.","lợn dũi cám, ăn nhanh."
nhoòng lăng mầư bấu pây slon slư vằn nẩy?,vì sao mày không đi học hôm nay?
nhoòng lăng mầư bấu kin khẩu?,tại sao cậu không ăn cơm?
nhoòng lăng lục đếch hạy?,vì sao đứa bé khóc?
nhi chỉ,là cùng
nhay mác phết,dằm ớt
nhay pùng,giẫm đạp bùn
nhang kỉ vằn,làm ma mấy ngày
nhay pùng pát chình,nhào bùn trát tường
nhem au kỷ mặt bắp,nhúm vài hạt ngô
nhem ngà nâng,một nhúm vừng
nhi,hai
nhi,hạ tuần
nhi chỉ,nhất định
nhoòng lăng bản lầu nẩy chắng roọng hết bản lung vài?,tại sao làng mình lại gọi là làng lũng trâu ạ?
nhi chỉ te pây háng,nó đi chợ là cùng
nhi hả,hai lăm
nhem,nhúm
nhi sloong,hai mươi hai
nhang,làm ma
nhang,hương
ngử hua,ngẩng đầu
ngựa cạ lẹo tha văn nưa phạ. pác thứ thỏe pí pí lèo nộp.,tưởng không còn thấy ánh sáng mặt trời. trăm thứ thuế lòng cấm phải nộp.
nhay,nhào
nhay,giẫm đạp
nhay,dằm
nhay,dầm
nhăn,con muội
nhạc,bó mạ
nhăn,kháy
nhăn,đồng ý
nhăn khả quan bấu nhăn làn mác,thà giết quan chứ không đốn cây ăn quả
"nhăn nòn vạ po hẩu, bấu nhăn pậu po khít",chịu nằm cùng người bị hủi không chịu làm bạn với người bị ghẻ
nhăn thắp tha mạy bấu nhăn cạy tha cần,không chịu banh mắt người khác
nhăn thắp tha mạy bấu nhăn cạy tha cần,thà chặt mắt tre
nhăn tẳng khây,trồng chuối
nhăn tốc tắm pậu,chịu thấp kém hơn người ta
nhương tàng hẩư cần ké pây cón,nhường đường cho người già
nhăn,mỉa
nhả ngai da đúc chếp,ngải cứu chữa bệnh đau xương
nhâu đin toỏng cạch,giẫm đất đóng gạch
nhâu,giẫm
nhang phi,làm ma
nhang ím dá bấu chắc hết fiệc,hốc no rồi không biết làm việc
ngựt,chừa
ngựt,ngấy
ngựt ngư,chần chừ
nháng,kiêu
nháng,to
nháng nhút,to sụ
nháo,bầy
nhá,trầu không dại
nháo,tốp
nháo cáy,bầy gà
nháo cần,tốp người
nháp,dai
nháp bặng pinh dác,dai như đỉa đói
nháp nhắng,dai nhách
nhát,xồm
nhát nhát,sồn sột
nháu,nhăn
nháo,đàn
nhi slíp pi,hai mươi tuổi
nhá,bã
nhào,rầm rầm
nháng,thô
nháng,ba hoa
ngựt ngư,ốm lửng
nhác,cười nham nhở
ngựt ngư xằng ái pây,chần chừ chưa muốn đi
nha,giận dỗi
nhang,hốc
nha,phát bệnh
nham,nắm
nham,túm
nham,đớp
nham hua phjôm,túm tóc
nham thúa nâng,một nắm đỗ
nhan,ghẻ
nhan vài,ghẻ trâu
nhang,cúng
nha,phát đau
nhâu,giẫm nát
nhi slíp,hai mươi
nhoòng cần nặt niểu khỏi chắng pền lạng,vì người ta thiết tha nên tôi bị dở dang
nhá mjầu,bã trầu
mu đông,heo rừng
mu nựa,heo thịt
mác râu,x. mác vả
mác khưa,cà dái dê
muôi khẩu.,mười hạt gạo.
mác hẩư bát nâng,cốc cho một cái
mác kham,quả chua me
mác kheo,quả xanh
mác kheo slắp,quả xanh chát
mác khuông pền ruồng,quả móc thành bông
mác kháy khẩu,gấc
mác khưa,cà bát
